PurchaseKey,DateKey,StrategyKey,AssetKey,InvestmentAmount,PurchasePrice,UnitsPurchased
1,20250505,1,1,30,8.88599967956543,3.376097353344396
2,20250505,1,2,25,45.404998779296875,0.5506001689708038
3,20250505,1,3,15,71.51000213623047,0.20976086633900778
4,20250505,1,4,10,18.219999313354492,0.5488474411011871
5,20250505,1,6,10,56.900001525878906,0.17574691971584327
6,20250505,1,5,5,606.5999755859375,0.008242664360759846
7,20250505,1,7,5,1627.0,0.003073140749846343
8,20250604,1,1,30,9.239999771118164,3.246753327177799
9,20250604,1,2,25,47.654998779296875,0.5246039374753051
10,20250604,1,3,15,77.05999755859375,0.19465352290719345
11,20250604,1,4,10,19.8799991607666,0.5030181298868015
12,20250604,1,6,10,57.35499954223633,0.1743527169350944
13,20250604,1,5,5,654.7999877929688,0.007635919507043232
14,20250604,1,7,5,1833.0,0.002727768685215494
15,20250704,1,1,30,9.322999954223633,3.217848347881734
16,20250704,1,2,25,46.935001373291016,0.5326515237778725
17,20250704,1,3,15,78.23999786376953,0.19171779664562114
18,20250704,1,4,10,20.489999771118164,0.4880429532310477
19,20250704,1,6,10,54.94499969482422,0.18200018301104828
20,20250704,1,5,5,659.5,0.0075815011372251705
21,20250704,1,7,5,1755.0,0.002849002849002849
22,20250804,1,1,30,9.534000396728516,3.1466329716426444
23,20250804,1,2,25,50.0,0.5
24,20250804,1,3,15,80.95999908447266,0.1852766819370784
25,20250804,1,4,10,21.100000381469727,0.47393364072078975
26,20250804,1,6,10,56.665000915527344,0.17647577584808263
27,20250804,1,5,5,602.5,0.008298755186721992
28,20250804,1,7,5,1765.0,0.0028328611898017
29,20250904,1,1,30,9.743000030517578,3.079133727397341
30,20250904,1,2,25,49.2599983215332,0.5075111825383815
31,20250904,1,3,15,81.81999969482422,0.18332926003358163
32,20250904,1,4,10,22.145000457763672,0.45156919364588066
33,20250904,1,6,10,59.150001525878906,0.16906170316200023
34,20250904,1,5,5,647.0999755859375,0.007726781314545081
35,20250904,1,7,5,1725.0,0.002898550724637681
36,20251006,1,1,30,10.154000282287598,2.9545006072465156
37,20251006,1,2,25,56.779998779296875,0.4402958882964172
38,20251006,1,3,15,86.52999877929688,0.1733502855842972
39,20251006,1,4,10,25.5049991607666,0.3920799972180603
40,20251006,1,6,10,65.53500366210938,0.15259021044019164
41,20251006,1,5,5,897.0999755859375,0.005573514810023564
42,20251006,1,7,5,1889.0,0.0026469031233456856
43,20251104,1,1,30,10.38599967956543,2.888503844172587
44,20251104,1,2,25,55.33000183105469,0.45183443290559266
45,20251104,1,3,15,90.54000091552734,0.1656726292061208
46,20251104,1,4,10,25.655000686645508,0.3897875553441484
47,20251104,1,6,10,67.12000274658203,0.148986883057141
48,20251104,1,5,5,917.9000244140625,0.005447216327498987
49,20251104,1,7,5,1729.0,0.002891844997108155
50,20251204,1,1,30,10.338000297546387,2.901915180551908
51,20251204,1,2,25,50.83000183105469,0.49183551248125673
52,20251204,1,3,15,89.01000213623047,0.1685203869228358
53,20251204,1,4,10,24.665000915527344,0.4054327844644314
54,20251204,1,6,10,70.19000244140625,0.14247043242871912
55,20251204,1,5,5,957.4000244140625,0.005222477410171412
56,20251204,1,7,5,1540.0,0.003246753246753247
57,20260105,1,1,30,10.52400016784668,2.8506270925058637
58,20260105,1,2,25,55.779998779296875,0.4481893249750109
59,20260105,1,3,15,88.4000015258789,0.16968325498963688
60,20260105,1,4,10,24.815000534057617,0.402982058625201
61,20260105,1,6,10,73.62999725341797,0.13581421123217266
62,20260105,1,5,5,1053.199951171875,0.004747436604451602
63,20260105,1,7,5,1752.0,0.0028538812785388126
64,20260204,1,1,30,10.562000274658203,2.8403710679671264
65,20260204,1,2,25,58.529998779296875,0.42713139452247784
66,20260204,1,3,15,85.94000244140625,0.17454037204882528
67,20260204,1,4,10,22.969999313354492,0.4353504701319741
68,20260204,1,6,10,80.97000122070312,0.1235025299399787
69,20260204,1,5,5,1140.800048828125,0.004382889012966118
70,20260204,1,7,5,1679.5,0.002977076510866329
71,20260304,1,1,30,10.668000221252441,2.812148423116357
72,20260304,1,2,25,62.31999969482422,0.4011553293071709
73,20260304,1,3,15,87.62000274658203,0.17119378600550358
74,20260304,1,4,10,23.469999313354492,0.42607585396519265
75,20260304,1,6,10,85.9800033569336,0.11630611316082928
76,20260304,1,5,5,1198.199951171875,0.0041729262258021725
77,20260304,1,7,5,1638.5,0.003051571559353067
78,20260407,1,1,30,10.284000396728516,2.917152746274049
79,20260407,1,2,25,60.02000045776367,0.416527820881851
80,20260407,1,3,15,84.02999877929688,0.17850767842324028
81,20260407,1,4,10,22.729999542236328,0.4399472151954181
82,20260407,1,6,10,77.95999908447266,0.1282709096643859
83,20260407,1,5,5,1113.800048828125,0.004489136093377538
84,20260407,1,7,5,1531.0,0.0032658393207054214
85,20260504,1,1,30,11.064000129699707,2.711496714417902
86,20260504,1,2,25,56.720001220703125,0.4407616266213136
87,20260504,1,3,15,95.9800033569336,0.15628255340039432
88,20260504,1,4,10,27.934999465942383,0.3579738747513397
89,20260504,1,6,10,75.22000122070312,0.13294336396856715
90,20260504,1,5,5,1187.199951171875,0.0042115904697136676
91,20260504,1,7,5,1388.199951171875,0.0036017866127852523
92,20250505,2,8,10,83756.9921875,0.00011939301709418849
93,20250505,2,9,60,1608.607177734375,0.0372993486728726
94,20250505,2,10,30,129.6793975830078,0.23133975449567457
95,20250604,2,8,10,91701.4375,0.00010904954461591728
96,20250604,2,9,60,2284.080810546875,0.02626877285731159
97,20250604,2,10,30,134.27896118164062,0.2234154906770441
98,20250704,2,8,10,91720.2890625,0.00010902713131645066
99,20250704,2,9,60,2129.7119140625,0.02817282450448798
100,20250704,2,10,30,125.45014953613281,0.23913881418976898
101,20250804,2,8,10,99324.0703125,0.00010068052958902444
102,20250804,2,9,60,3210.035400390625,0.018691382653505527
103,20250804,2,10,30,146.23944091796875,0.20514301621836847
104,20250904,2,8,10,94986.453125,0.0001052781704233153
105,20250904,2,9,60,3687.763671875,0.016270023065088037
106,20250904,2,10,30,173.7703094482422,0.17264169060443296
107,20251006,2,8,10,106538.1640625,9.386307796831901e-05
108,20251006,2,9,60,4003.338134765625,0.014987492432615287
109,20251006,2,10,30,198.56776428222656,0.15108192464392492
110,20251104,2,8,10,88446.3359375,0.00011306290864402152
111,20251104,2,9,60,2866.568115234375,0.020930952130922695
112,20251104,2,10,30,135.29649353027344,0.22173523656980298
113,20251204,2,8,10,79136.6640625,0.00012636367881393472
114,20251204,2,9,60,2691.935791015625,0.022288793142931147
115,20251204,2,10,30,119.39388275146484,0.25126915473926936
116,20260105,2,8,10,80141.1484375,0.0001247798439998491
117,20260105,2,9,60,2753.927978515625,0.021787062141087717
118,20260105,2,10,30,117.79266357421875,0.2546847918172562
119,20260204,2,8,10,61872.94921875,0.0001616215183899719
120,20260204,2,9,60,1816.28955078125,0.03303438043465696
121,20260204,2,10,30,77.98066711425781,0.38471073806080414
122,20260304,2,8,10,62493.14453125,0.0001600175519252268
123,20260304,2,9,60,1827.6845703125,0.032828421804612117
124,20260304,2,10,30,78.07005310058594,0.38427026508292256
125,20260406,2,8,10,59668.76171875,0.00016759188077565974
126,20260406,2,9,60,1826.4281005859375,0.032851005731214585
127,20260406,2,10,30,69.4533462524414,0.43194463073037964
128,20260504,2,8,10,68277.125,0.00014646193728866
129,20260504,2,9,60,2006.8826904296875,0.029897113710793722
130,20260504,2,10,30,71.92239379882812,0.41711626122890266
131,20250505,3,1,150,8.88599967956543,16.88048676672198
132,20250505,3,2,125,45.404998779296875,2.753000844854019
133,20250505,3,3,75,71.51000213623047,1.0488043316950388
134,20250505,3,4,50,18.219999313354492,2.744237205505936
135,20250505,3,6,50,56.900001525878906,0.8787345985792164
136,20250505,3,5,25,606.5999755859375,0.04121332180379923
137,20250505,3,7,25,1627.0,0.015365703749231715
138,20250604,3,1,150,9.239999771118164,16.233766635888994
139,20250604,3,2,125,47.654998779296875,2.6230196873765257
140,20250604,3,3,75,77.05999755859375,0.9732676145359672
141,20250604,3,4,50,19.8799991607666,2.5150906494340077
142,20250604,3,6,50,57.35499954223633,0.8717635846754721
143,20250604,3,5,25,654.7999877929688,0.03817959753521616
144,20250604,3,7,25,1833.0,0.013638843426077468
145,20250704,3,1,150,9.322999954223633,16.08924173940867
146,20250704,3,2,125,46.935001373291016,2.6632576188893626
147,20250704,3,3,75,78.23999786376953,0.9585889832281057
148,20250704,3,4,50,20.489999771118164,2.4402147661552385
149,20250704,3,6,50,54.94499969482422,0.9100009150552414
150,20250704,3,5,25,659.5,0.03790750568612585
151,20250704,3,7,25,1755.0,0.014245014245014245
152,20250804,3,1,150,9.534000396728516,15.733164858213222
153,20250804,3,2,125,50.0,2.5
154,20250804,3,3,75,80.95999908447266,0.9263834096853921
155,20250804,3,4,50,21.100000381469727,2.3696682036039487
156,20250804,3,6,50,56.665000915527344,0.8823788792404131
157,20250804,3,5,25,602.5,0.04149377593360996
158,20250804,3,7,25,1765.0,0.014164305949008499
159,20250904,3,1,150,9.743000030517578,15.395668636986706
160,20250904,3,2,125,49.2599983215332,2.537555912691907
161,20250904,3,3,75,81.81999969482422,0.9166463001679083
162,20250904,3,4,50,22.145000457763672,2.2578459682294034
163,20250904,3,6,50,59.150001525878906,0.8453085158100011
164,20250904,3,5,25,647.0999755859375,0.038633906572725404
165,20250904,3,7,25,1725.0,0.014492753623188406
166,20251006,3,1,150,10.154000282287598,14.772503036232578
167,20251006,3,2,125,56.779998779296875,2.201479441482086
168,20251006,3,3,75,86.52999877929688,0.866751427921486
169,20251006,3,4,50,25.5049991607666,1.9603999860903016
170,20251006,3,6,50,65.53500366210938,0.7629510522009583
171,20251006,3,5,25,897.0999755859375,0.02786757405011782
172,20251006,3,7,25,1889.0,0.013234515616728428
173,20251104,3,1,150,10.38599967956543,14.442519220862934
174,20251104,3,2,125,55.33000183105469,2.2591721645279637
175,20251104,3,3,75,90.54000091552734,0.828363146030604
176,20251104,3,4,50,25.655000686645508,1.9489377767207419
177,20251104,3,6,50,67.12000274658203,0.744934415285705
178,20251104,3,5,25,917.9000244140625,0.027236081637494934
179,20251104,3,7,25,1729.0,0.014459224985540775
180,20251204,3,1,150,10.338000297546387,14.50957590275954
181,20251204,3,2,125,50.83000183105469,2.4591775624062837
182,20251204,3,3,75,89.01000213623047,0.842601934614179
183,20251204,3,4,50,24.665000915527344,2.0271639223221567
184,20251204,3,6,50,70.19000244140625,0.7123521621435956
185,20251204,3,5,25,957.4000244140625,0.026112387050857062
186,20251204,3,7,25,1540.0,0.016233766233766232
187,20260105,3,1,150,10.52400016784668,14.253135462529318
188,20260105,3,2,125,55.779998779296875,2.2409466248750545
189,20260105,3,3,75,88.4000015258789,0.8484162749481844
190,20260105,3,4,50,24.815000534057617,2.014910293126005
191,20260105,3,6,50,73.62999725341797,0.6790710561608633
192,20260105,3,5,25,1053.199951171875,0.023737183022258013
193,20260105,3,7,25,1752.0,0.014269406392694063
194,20260204,3,1,150,10.562000274658203,14.20185533983563
195,20260204,3,2,125,58.529998779296875,2.1356569726123893
196,20260204,3,3,75,85.94000244140625,0.8727018602441264
197,20260204,3,4,50,22.969999313354492,2.1767523506598705
198,20260204,3,6,50,80.97000122070312,0.6175126496998935
199,20260204,3,5,25,1140.800048828125,0.02191444506483059
200,20260204,3,7,25,1679.5,0.014885382554331646
201,20260304,3,1,150,10.668000221252441,14.060742115581785
202,20260304,3,2,125,62.31999969482422,2.0057766465358546
203,20260304,3,3,75,87.62000274658203,0.8559689300275178
204,20260304,3,4,50,23.469999313354492,2.1303792698259634
205,20260304,3,6,50,85.9800033569336,0.5815305658041464
206,20260304,3,5,25,1198.199951171875,0.020864631129010863
207,20260304,3,7,25,1638.5,0.015257857796765334
208,20260407,3,1,150,10.284000396728516,14.585763731370246
209,20260407,3,2,125,60.02000045776367,2.082639104409255
210,20260407,3,3,75,84.02999877929688,0.8925383921162015
211,20260407,3,4,50,22.729999542236328,2.1997360759770905
212,20260407,3,6,50,77.95999908447266,0.6413545483219295
213,20260407,3,5,25,1113.800048828125,0.02244568046688769
214,20260407,3,7,25,1531.0,0.016329196603527107
215,20260504,3,1,150,11.064000129699707,13.557483572089511
216,20260504,3,2,125,56.720001220703125,2.203808133106568
217,20260504,3,3,75,95.9800033569336,0.7814127670019716
218,20260504,3,4,50,27.934999465942383,1.7898693737566984
219,20260504,3,6,50,75.22000122070312,0.6647168198428357
220,20260504,3,5,25,1187.199951171875,0.021057952348568335
221,20260504,3,7,25,1388.199951171875,0.01800893306392626
222,20250505,3,8,10,83756.9921875,0.00011939301709418849
223,20250505,3,9,60,1608.607177734375,0.0372993486728726
224,20250505,3,10,30,129.6793975830078,0.23133975449567457
225,20250604,3,8,10,91701.4375,0.00010904954461591728
226,20250604,3,9,60,2284.080810546875,0.02626877285731159
227,20250604,3,10,30,134.27896118164062,0.2234154906770441
228,20250704,3,8,10,91720.2890625,0.00010902713131645066
229,20250704,3,9,60,2129.7119140625,0.02817282450448798
230,20250704,3,10,30,125.45014953613281,0.23913881418976898
231,20250804,3,8,10,99324.0703125,0.00010068052958902444
232,20250804,3,9,60,3210.035400390625,0.018691382653505527
233,20250804,3,10,30,146.23944091796875,0.20514301621836847
234,20250904,3,8,10,94986.453125,0.0001052781704233153
